Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Accepts EBT,Open Year-Round, Cooking Demonstrations,Location Point
Manhattan,Harvest Home East Harlem Farmers Market,E. 104th St. & 3rd Ave.,40.7903,-73.945635,Thursday,8AM - 3PM,Yes,No,No,"(40.7903, -73.945635)"
Brooklyn,Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Flatbush/Nostrand Triangle,40.63262,-73.947439,Wednesday,4PM - 7PM,Yes,No,No,"(40.63262, -73.947439)"
Bronx,Morris Heights Farmstand,University Ave. and W. 179th St.,40.854567,40.854567,Wednesday,11AM - 3PM,Yes,No,No,"(40.854567, 40.854567)"
Bronx,170 Farm Stand,1406 Townsend Ave.,40.840138,-73.916591,Wednesday,2PM - 6PM,Yes,No,Yes,"(40.840138, -73.916591)"
Bronx,JBOLC Garden Community Farmers Market,Sedgwick Ave. & Goulden Ave.,40.882647,-73.886562,Saturday,10AM - 3PM,Yes,No,No,"(40.882647, -73.886562)"
Queens,Perez Farm Stand,"134-20 Jamaica Ave., by the Axel Building",40.70236,-73.818531,Wednesday,10AM - 4PM,Yes,No,No,"(40.70236, -73.818531)"
Brooklyn,7th Ave Sunset Park Greenmarket,7th Ave. & 44th St.,40.645841,-74.002402,Saturday,8AM - 3PM,Yes,Yes,No,"(40.645841, -74.002402)"
Manhattan,PS 11 Farm Market,320 W. 21st St.,40.744349,-74.000253,Wednesday,8AM - 10AM,No,No,No,"(40.744349, -74.000253)"
Manhattan,Astor Place Greenmarket,E. 8th St. & Lafayette,40.72982,-73.991023,Tuesday,8AM - 5PM,Yes,No,No,"(40.72982, -73.991023)"
Brooklyn,Fresh Vibes Market at Emblem Health,101 Pennsylvania Ave.,40.675209,-73.896508,Wednesday (2nd and 3rd),11AM - 2:30PM,Yes,No,No,"(40.675209, -73.896508)"
Brooklyn,Seeds in the Middle East Flatbush Farm Stand 2,4801 Ave. D (PS 208),40.642031,-73.931151,Friday,2PM - 4PM,Yes,No,No,"(40.642031, -73.931151)"
Manhattan,Tribeca Greenmarket,Greenwich & Chambers streets,40.716303,-74.010966,Wednesday & Saturday,8AM - 2PM,Yes,No,No,"(40.716303, -74.010966)"
Brooklyn,Eastern Parkway Farm Stand,1420 Eastern Parkway,40.668787,-73.921582,Saturday,10AM - 2PM,TBD,No,No,"(40.668787, -73.921582)"
Brooklyn,Brownsville Pitkin Farmstand,Pitkin Ave. bet Thomas Boyland and Amboy St.,40.669234,-73.913698,Saturday,9AM - 2PM,Yes,No,No,"(40.669234, -73.913698)"
Queens,Ditmars Park Farmstand,Steinway St. bet Ditmars Blvd. & 23rd Ave.,40.772854,-73.906061,Saturday,9:30AM - 2PM,Yes,No,No,"(40.772854, -73.906061)"
Brooklyn,Carroll Gardens Greenmarket,Smith & Carroll Sts.,40.680761,-73.99552,Sunday,8AM - 2PM,Yes,Yes,No,"(40.680761, -73.99552)"
Manhattan,Fort Washington Greenmarket,168th St. & Ft. Washington Ave.,40.842296,-73.942027,Tuesday,8AM - 4PM,Yes,No,No,"(40.842296, -73.942027)"
Bronx,Bissel Gardens Farmers Market,Baychester Ave. & E. 241st St.,40.90152,-73.846937,Saturday,10AM - 4PM,Yes,No,No,"(40.90152, -73.846937)"
Brooklyn,NYP Youth Market - Brooklyn,249 7th Ave.,40.669218,-73.979629,Tuesday,9AM - 3PM,No,No,No,"(40.669218, -73.979629)"
Queens,QueensVillage Farmers Market,QueensVillage Long Island Railroad Commuter Parking Lot - Amboy Ln. & Springfield Blvd.,40.717978,-73.735337,Sunday,11AM - 4PM,TBD,No,No,"(40.717978, -73.735337)"
Manhattan,Uptown Good Food Farm Stand,330 St. Nicholas Ave. (St. Nicholas Miracle Garden),40.81172,-73.951795,Thursday,4PM - 7PM,Yes,No,No,"(40.81172, -73.951795)"
Bronx,Bronx Park East Farmers Market,2222 Bronx Park E. (near Bradley Playground),40.851713,-73.867786,Sunday,9AM - 4PM,Yes,No,No,"(40.851713, -73.867786)"
Queens,Far Rock Farm Stand,45-55 Beach Channel Dr.,40.595572,-73.777001,Saturday,10AM - 2PM,Yes,No,No,"(40.595572, -73.777001)"
Bronx,Lincoln Hospital Greenmarket,E. 149th St. bet Park & Morris Aves,40.818013,-73.925185,Tuesdays & Fridays,8AM - 3PM,Yes,No,No,"(40.818013, -73.925185)"
Manhattan,Tompkins Square Greenmarket,7th St. & Ave. A,40.726054,-73.983534,Sunday,9AM - 4PM,Yes,Yes,No,"(40.726054, -73.983534)"
Brooklyn,Fresh Vibes Market at Medgar Evers College,1630 Bedford Ave.,40.666799,-73.956679,Monday (1st and 3rd),10AM - 2PM,Yes,No,No,"(40.666799, -73.956679)"
Bronx,Harvest Home St. Mary's Park Farm Stand,E. 149th St. & Eagle Ave. (St. Mary's Park),40.8139,-73.911812,Thursday,8AM - 3PM,Yes,No,No,"(40.8139, -73.911812)"
Staten Island,Children's Aid Society Go!Healthy Food Box + Famstand - Goodhue Center,304 Prospect Ave.,40.638936,-74.097966,Tuesday,1PM - 3:30PM,Yes,No,No,"(40.638936, -74.097966)"
Bronx,New Roots Farm Stand,670 Grand Concourse,40.821447,-73.925492,Saturday,10AM - 3PM,Yes,No,No,"(40.821447, -73.925492)"
Manhattan,PS 57 Farmstand,115th St. & 3rd Ave. (SW corner),40.797577,-73.94128,Wednesday,9:30AM - 3PM,Yes,No,No,"(40.797577, -73.94128)"
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave. & Cooper St.,40.869001,-73.920896,Saturday,8AM - 3PM,Yes,Yes,No,"(40.869001, -73.920896)"
Staten Island,Staten Island Mall Greenmarket,Marsh Ave. & Ring Road,40.583804,-74.161245,Saturday,8AM - 2PM,Yes,No,No,"(40.583804, -74.161245)"
Manhattan,Gouverneur Health Farmstand,Madison St. bet Clinton & Jefferson Sts.,40.712905,-73.986928,Thursday,9AM - 2PM,Yes,No,Yes,"(40.712905, -73.986928)"
