Zip Code,Entity Name,Count
10001,245 EMPIRE GROCERY & DELI CORP,1
10001,300 8TH AVENUE FOOD CORP,1
10001,303 HIGHLINE CORP,1
10001,433 W GOURMET INC,1
10001,8TH AVENUE TOBACCO & MAGAZINE INC,1
10001,9TH GROCERY INC,1
10001,BENTO NOUVEAU INC,1
10001,CHELSEA DELI MARKET CORP,1
10001,CHHAYA NEWS INC,1
10001,CTAC HOLDINGS LLC,1
10001,CVS ALBANY LLC,3
10001,DOORDASH ESSENTIALS LLC,1
10001,DUANE READE ETAL PTRS,2
10001,DUANE READE INC,2
10001,DYLANS CANDY BAR LLC,1
10001,ELITE 128 LLC,1
10001,ELITE 800 LLC,1
10001,ELITE 866 LLC,1
10001,GOURMET SQUARE ORGANIC MARKET INC,1
10001,HAMPTONS MARKETPLACE INC,1
10001,HANA MART NY CORP,1
10001,HUDSON GROUP (HG) RETAIL LLC,3
10001,IT' SUGAR LLC,1
10001,ITO INC,2
10001,J&P LOBBY STAND INC,1
10001,JUICE PRESS LLC THE,2
10001,JULIE & C INC,1
10001,LONDON GROCERY CORP,1
10001,MANHATTAN 8TH AVE INC,1
10001,MASSOLA MANAGEMENT 368 CORP,1
10001,NEUHAUS INC,1
10001,NEW 382 FARMERS DELI INC,1
10001,POST FOOD CORP,1
10001,SARAH FRUITS & VEGGIES CORP,1
10001,SIXTH AVE GARDEN GOURMET DELI INC,1
10001,SRISAI CONVENIENCE INC,1
10001,TESOLIFE K TOWN INC,1
10001,WHOLE FOODS MARKET GROUP INC,1
10012,135 W 3RD ST RETAIL CORP,1
10012,689 BROADWAY DELI CORP,1
10012,ALIDORO CORP,1
10012,BAKED BY MELISSA LLC,1
10012,BLEECKER FINEST CORP,1
10012,COMPASS GROUP USA INC,1
10012,CVS ALBANY LLC,2
10012,DUANE READE ETAL PTRS,2
10012,EILEENS SPECIAL CHEESECAKE INC,1
10012,HEAVENLY FINEST DELI INC,1
10012,JAPAN PREMIUM BEEF INC,1
10012,KAY MARKET INC,1
10012,LONGO COFFEE & TEA INC,1
10012,MADHUFALLA INC,1
10012,MULBERRY MARKET INC,1
10012,MYK MART LLC,1
10012,NEUHAUS INC,1
10012,NYC FINEST DELI GOURMET CORP,1
10012,PARTNERS IN CHOCOLATE LLC,1
10012,PINOS PRIME MEAT MARKET INC,1
10012,PINSU FOODS INC,1
10012,POP UP GROCER INC,1
10012,PRAYOSHA 202 INC,1
10012,PRESSED JUICERY LAFAYETTE LLC,1
10012,PUFF AND PASSION CONVENIENCE CORP,1
10012,RAFFETTOS FRESH PASTA LLC,1
10012,SHRIJIKRUPA CORP,1
10012,SHRINATHJIKRUPA LLC,1
10012,SJT PRINCE LLC,1
10012,SOHO GARDEN INC,1
10012,STICK WITH ME LLC,1
10012,SULLIVAN TEA INC,1
10012,SUSHI MARU EXPRESS INC,1
10012,TAN & WHITE SUPERMARKET INC,1
10012,TARGET CORPORATION,1
10012,WEST 3RD NYC DELI INC,1
10036,10TH AVENUE DELI AND GROCERY CORP,1
10036,270 MARKET INC,1
10036,47 ROCKEFELLER INC,1
10036,5TH AVE DOLLAR LLC,1
10036,600 DELI CORP,1
10036,607 DELI CORP,1
10036,681 TIMES SQUARE CORP,1
10036,AHMAD ASAD SYED & SALMA,1
10036,AMAZON RETAIL LLC,1
10036,B.A.M.M. NINTH AVENUE CORP,1
10036,CITRA NYC GOURMET & CRAFT CORP,1
10036,CLINTON FRUIT MARKET INC,1
10036,CVS ALBANY LLC,1
10036,DUANE READE INC,2
10036,EATS ON 48 MARKETPLACE LLC,1
10036,ELEVENTH AVE DELI CORP,1
10036,ELITE 675 LLC,1
10036,ESAM FOOD CORP,1
10036,FREEDOM NEWS INC,1
10036,GOLDEN OWL BROTHERS INC,1
10036,HANA GROUP OPS LLC,1
10036,HERSHEY COMPANY INC THE,1
10036,JUICE PRESS LLC THE,1
10036,JUN 0709 INC,1
10036,MIDTOWN DELI CORP,1
10036,POSEIDON BAKERY LLC,1
10036,R&A FOOD INC,1
10036,SEVEN SEAS 42ND ST LLC,1
10036,SHISHA DELI INC,1
10036,SMALL AND MIGHTY KRUPA INC,1
10036,SUNSET FOOD CORP,1
10036,TARGET CORP,1
10036,TARGET CORPORATION,1
10036,WEST 44 CANDY STORE CORP,1
10036,WEST RISE CONVENIENCE CORP,1
10036,WHOLE FOODS MARKET GROUP INC,1
11101,1-800-FLOWERS.COM INC,1
11101,12 ST GOURMET DELI INC,1
11101,21ST STREET DELI INC,1
11101,24/7 REAL GOURMET DELI INC,1
11101,2502 PLAZA MARKET INC,1
11101,26-20 JACKSON AVENUE CORP,1
11101,37TH STREET DELI CORP,1
11101,44TH DRIVE GOURMET CORP,1
11101,5001 MEAT CORP,1
11101,7-ELEVEN INC,1
11101,AFRICA PRODUCT DEVELOPMENT CENTER LLC,1
11101,AI MART INC,1
11101,AMERICAN STAR DELI CORP,1
11101,APPLE GOURMET DELI INC,1
11101,ASTORIA FISHERY SUPPLIERS&FOODS CORP,1
11101,BAKEHOUSE FACTORY LLC,1
11101,BBGO CORP,1
11101,BENTO ON INC,1
11101,BJS WHOLESALE CLUB INC,1
11101,BOGOPA LIC INC,1
11101,BRIDGE GOURMET MARKET INC,1
11101,COURT SQUARE DELI INC,1
11101,CRESCENT DELI&GROCERY INC,1
11101,CULIRAW INC,1
11101,CVS ALBANY LLC,1
11101,DALISSA BAKING CO INC,1
11101,DK CONVENIENCE STORE INC,1
11101,DOORDASH ESSENTIALS LLC,1
11101,DOUGHNUT PLANT INC,1
11101,DS MINI FOOD MART INC,1
11101,DSCC VENTURES LLC,1
11101,DUANE READE ETAL PTRS,1
11101,E-Z STATION INC,1
11101,EAST ASIAN FOOD CORPORATION,1
11101,FEATHER FACTORY HOTEL INC,1
11101,FIREROAD FOODS CO,1
11101,GLASER NEAL WENG VANESSA DUAN SHU RONG,1
11101,GOLDEN OWL BROTHERS INC,1
11101,GOOD NEIGHBOR QUEENS LLC,1
11101,GREENPOINT EXPRESSWAY INC,1
11101,GREGORYS COFFEE MANAGEMENT LLC,1
11101,H MART LIC LLC,1
11101,HANA GROUP OPS LLC,1
11101,HERMIN EMPIRES INC,1
11101,ICHIBAN NY SUSHI LLC,2
11101,ICONYC BREWING COMPANY LLC,1
11101,IG CENTRAL LLC,1
11101,IMBABA STATION INC I,1
11101,INDIAN HOME COOKING LLC,1
11101,J K PATISSERIE & BAKERY LLC,1
11101,J&J NEWS INC,1
11101,JACKSON Q PLAZA LLC,1
11101,JACKSONS DELI INC,1
11101,JAGR TWO LLC,1
11101,KIM HYUNG WOOK,1
11101,KLEYNBURG ROMAN,1
11101,LA MIA FOOD MARKET CORP,1
